,greV,greQ,greA,cgpa,univName
7160,155.0,164.0,3.5,3.85,Ohio State University
7165,158.0,164.0,3.5,3.7,University Of Florida
7177,161.0,150.0,4.5,3.6,University Of Kansas
7206,168.0,170.0,5.5,3.8,NCSU (North Carolina State University)
7265,168.0,156.0,3.0,3.4,University Of Florida
7295,158.0,169.0,4.5,3.7,Columbia University
7339,162.0,154.0,3.5,3.4,Carnegie Mellon University
7342,152.0,167.0,4.0,3.3,"University Of California, San Diego"
7343,152.0,167.0,4.0,3.3,"University Of California, San Diego"
7389,157.0,155.0,4.0,3.93,University Of Iowa
7400,166.0,162.0,5.0,3.03,Northeastern University
7409,162.0,161.0,5.5,3.85,Columbia University
7461,167.0,170.0,5.0,3.65,"University Of Californa, Los Angeles (UCLA)"
7488,163.0,168.0,5.0,3.65,Columbia University
7500,152.0,165.0,4.0,3.86,Ohio State University
7557,154.0,159.0,5.5,3.86,Georgetown University
7574,149.0,150.0,4.0,3.66,University Of Delaware
7587,161.0,162.0,5.5,3.18,Johns Hopkins University
7588,154.0,168.0,3.5,3.68,University Of Texas At Austin
7613,170.0,160.0,4.0,3.59,McGill University
7616,164.0,165.0,0.0,3.75,Duke University
7654,152.0,167.0,4.0,3.3,North Carolina State University (NCSU)
7694,163.0,169.0,4.0,3.3,University Of Maryland College Park
7712,152.0,147.0,0.0,3.33,University Of South Florida
7745,163.0,169.0,4.0,3.85,Northwestern University
7775,162.0,158.0,4.5,3.08,Ohio State University
7793,157.0,168.0,4.0,3.66,University Of Maryland College Park
7801,156.0,170.0,3.0,3.5,Iowa State University
7816,158.0,167.0,5.0,3.64,"University Of California, Irvine"
7823,169.0,168.0,4.5,3.75,Columbia University
7831,148.0,165.0,4.0,3.71,"University Of California, San Diego"
7837,163.0,169.0,3.5,3.88,"University Of California, San Diego"
7854,165.0,169.0,5.5,3.95,University Of Michigan
7855,164.0,165.0,4.0,3.48,University Of Southern California
7871,161.0,170.0,3.5,3.9,University Of Oxford
7879,163.0,170.0,5.0,3.88,Iowa State University
7892,170.0,164.0,4.0,4.0,"University Of Californa, Los Angeles (UCLA)"
7904,163.0,155.0,4.0,3.83,University Of Florida
7940,158.0,166.0,4.0,3.47,University Of Southern California
7955,150.0,164.0,4.0,3.64,Northwestern University
7967,155.0,170.0,3.5,3.92,Purdue University - West Lafayette
7972,156.0,169.0,4.0,3.72,Carnegie Mellon University
7979,160.0,170.0,4.0,3.0,University Of Minnesota
8007,154.0,167.0,3.0,3.77,Northwestern University
8011,158.0,164.0,3.5,3.6,University Of Minnesota
8038,161.0,170.0,4.0,3.94,University Of Texas At Austin
8086,158.0,164.0,3.5,3.7,Tufts University
8098,166.0,151.0,6.0,3.96,University Of Maryland College Park
8099,158.0,161.0,5.0,3.4,University Of Texas At Austin
8100,158.0,161.0,5.0,3.4,American University
8117,152.0,168.0,3.0,3.74,"University Of California, Davis"
8131,165.0,169.0,4.5,3.9,Tufts University
8132,165.0,169.0,4.5,3.9,Stony Brook University
8134,165.0,169.0,4.5,3.9,Boston University
8172,157.0,166.0,3.0,3.4,Iowa State University
8209,150.0,168.0,5.0,3.9,Georgia State University
8210,164.0,166.0,4.0,8.56,University Of Wisconsin-Madison
8220,157.0,157.0,4.5,3.6,University Of Toronto
8272,155.0,165.0,3.5,3.6,University Of Southern California
8276,165.0,169.0,4.5,3.49,Stony Brook University
8311,163.0,167.0,5.0,3.26,Johns Hopkins University
8354,157.0,170.0,0.0,4.0,Iowa State University
8395,150.0,170.0,3.5,3.85,Iowa State University
8403,166.0,166.0,5.0,3.54,Princeton University
8409,170.0,162.0,4.5,3.68,University Of Pittsburgh
8436,155.0,170.0,4.5,3.98,Columbia University
8456,160.0,166.0,4.5,3.92,Carnegie Mellon University
8487,153.0,167.0,3.5,3.96,University Of Michigan
8488,152.0,168.0,3.5,3.58,University Of Texas At Dallas
8517,157.0,164.0,4.0,3.9,Columbia University
8529,152.0,165.0,4.0,3.78,University Of Pittsburgh
8532,170.0,170.0,5.0,3.8,New York University
8567,167.0,168.0,5.0,3.66,"University Of California, San Diego"
8581,169.0,157.0,5.0,3.79,"University Of Californa, Los Angeles (UCLA)"
8586,159.0,168.0,4.0,8.52,Northeastern University
8591,152.0,148.0,5.0,3.95,New York University
8599,156.0,170.0,3.0,3.77,University Of Illinois At Urbana-Champaign
8681,160.0,170.0,4.5,3.7,"University Of California, San Diego"
8690,156.0,159.0,4.0,3.94,Washington University in St. Louis (WashU/WUSTL)
8698,138.0,160.0,3.0,3.0,University Of Kansas
8703,144.0,167.0,0.0,3.42,"University Of Californa, Los Angeles (UCLA)"
8760,155.0,168.0,3.0,3.91,University Of Texas At Austin
8762,155.0,169.0,3.5,3.67,University Of Texas At Austin
8773,162.0,166.0,5.0,3.95,Oregon State University
8775,162.0,166.0,5.0,3.95,University Of Arizona
8776,162.0,166.0,5.0,3.95,Arizona State University
8814,159.0,164.0,4.0,3.11,University Of Washington
8855,151.0,170.0,3.0,3.72,University Of Washington
8896,162.0,162.0,6.0,3.97,Northeastern University
8921,152.0,167.0,3.5,4.0,"University Of California, Berkeley"
9006,163.0,170.0,4.0,3.74,University Of Texas At Austin
9008,163.0,170.0,4.0,3.74,Purdue University - West Lafayette
9014,157.0,169.0,4.0,3.88,University Of Texas At Austin
9036,155.0,150.0,5.0,3.1,Columbia University
9076,158.0,155.0,4.0,3.3,University Of Oregon
9081,168.0,157.0,5.5,3.4,University Of Minnesota
9082,157.0,156.0,4.5,3.74,Stanford University
9138,161.0,154.0,5.5,3.79,University Of Oxford
9162,147.0,164.0,4.0,3.58,Columbia University
9206,167.0,155.0,4.5,3.92,Northwestern University
9226,152.0,169.0,3.5,3.45,University Of Washington
9227,152.0,169.0,3.5,3.45,University Of Michigan
9276,152.0,168.0,4.0,3.7,Stony Brook University
9321,163.0,168.0,4.5,3.76,University Of Utah
9359,153.0,169.0,3.5,3.37,Rutgers University
9360,153.0,170.0,4.0,9.81,University Of Toronto
9364,166.0,158.0,5.0,3.48,"University Of California, Berkeley"
9387,168.0,170.0,3.0,3.84,Cornell University
9402,170.0,166.0,5.0,3.8,University Of Oxford
9455,170.0,155.0,4.0,3.71,University Of Michigan
9458,170.0,162.0,3.5,3.7,Columbia University
9520,153.0,150.0,4.0,3.65,University Of Virginia
9548,161.0,162.0,4.0,3.77,Columbia University
9593,166.0,167.0,5.0,3.36,"University Of Michigan, Ann Arbor"
9594,162.0,163.0,4.5,3.86,University Of Texas At Austin
9616,166.0,167.0,5.0,3.36,Duke University
9618,161.0,169.0,4.5,3.5,University Of Pittsburgh
9622,166.0,167.0,5.0,3.36,Carnegie Mellon University
9626,166.0,167.0,5.0,3.36,"University Of Michigan, Ann Arbor"
9629,166.0,167.0,5.0,3.36,"University Of Michigan, Ann Arbor"
9633,152.0,168.0,3.5,3.83,Carnegie Mellon University
9634,157.0,158.0,4.0,4.0,University Of Arizona
9694,152.0,166.0,3.5,3.4,University Of Wisconsin-Madison
9706,163.0,167.0,4.0,3.5,McGill University
9707,163.0,167.0,4.0,3.5,UC San Diego (UCSD)
9776,169.0,166.0,4.0,4.0,Stanford University
9777,169.0,166.0,4.0,4.0,Columbia University
9842,168.0,166.0,5.0,3.99,University Of Virginia
9845,158.0,148.0,5.0,3.97,George Mason University
9852,160.0,149.0,4.0,3.48,University Of Arizona
9853,164.0,170.0,5.5,3.99,Cornell University
9859,168.0,151.0,5.0,4.0,University Of Delaware
9866,151.0,157.0,4.0,3.7,University Of Washington
9884,152.0,168.0,3.5,3.58,University Of South Florida
9889,170.0,155.0,5.0,3.5,Duke University
9942,157.0,169.0,4.5,3.93,Columbia University
9954,162.0,170.0,4.0,3.9,Columbia University
9962,165.0,170.0,3.5,3.94,Carnegie Mellon University (CMU)
9984,161.0,167.0,4.5,3.71,University Of Texas At Austin
9993,155.0,165.0,0.0,3.96,Carnegie Mellon University
10011,158.0,169.0,4.5,3.7,Carnegie Mellon University
10020,158.0,153.0,4.0,3.77,University Of Chicago
10025,156.0,169.0,3.5,3.87,University Of Texas At Austin
10026,155.0,170.0,4.0,3.7,University Of Texas At Austin
10035,155.0,170.0,4.0,3.4,University Of Washington
10050,160.0,170.0,5.0,3.9,UC Berkeley
10108,151.0,148.0,4.5,3.93,University Of South Florida
10118,152.0,169.0,4.0,3.8,"University Of California, San Diego"
10141,162.0,166.0,3.0,3.52,University Of Michigan
10164,157.0,159.0,4.5,3.88,University Of Maryland
10169,160.0,169.0,3.5,3.3,NCSU (North Carolina State University)
10196,154.0,169.0,4.0,8.52,UC San Diego (UCSD)
10218,143.0,168.0,2.5,3.78,University Of Kentucky
10221,157.0,146.0,5.0,4.0,University Of South Florida
10225,161.0,167.0,3.5,3.98,University Of Minnesota
10227,155.0,150.0,4.5,3.73,Temple University
10231,165.0,163.0,5.0,3.8,Northwestern University
10261,157.0,159.0,3.5,3.98,Texas A&M University
10312,159.0,165.0,4.0,3.57,Stony Brook University
10328,170.0,160.0,6.0,3.99,Stanford University
10333,155.0,170.0,3.5,3.92,"University Of California, San Diego"
10334,170.0,155.0,3.5,3.92,"University Of California, San Diego"
10342,148.0,167.0,3.5,3.79,Michigan State University
10344,155.0,155.0,4.0,4.0,University Of Michigan
10403,163.0,169.0,4.5,3.84,Columbia University
10420,154.0,170.0,3.5,3.61,University Of Texas At Austin
10426,155.0,165.0,3.5,3.6,University Of Southern California
10471,157.0,161.0,5.5,3.82,University Of Southern California
10518,163.0,169.0,4.5,3.6,University Of Pennsylvania
10544,157.0,167.0,4.0,3.4,Columbia University
10545,157.0,167.0,4.0,3.4,University Of Pennsylvania
10553,166.0,155.0,4.0,3.83,Brown University
10583,152.0,170.0,3.5,3.96,"University Of Californa, Los Angeles (UCLA)"
10588,161.0,162.0,4.0,3.76,University Of Southern California
10629,158.0,160.0,5.0,3.5,"University Of California, Berkeley"
10676,138.0,163.0,3.0,3.83,McGill University
10689,157.0,166.0,4.0,3.33,Stony Brook University
10725,162.0,167.0,5.0,3.7,Columbia University
10733,162.0,169.0,5.0,3.7,University Of Pennsylvania
10759,156.0,164.0,4.0,3.84,University Of Pittsburgh
10785,154.0,170.0,4.0,3.6,Columbia University
10786,151.0,167.0,4.0,3.61,Arizona State University
10791,164.0,170.0,5.5,3.4,University Of Pennsylvania
10793,163.0,166.0,4.5,3.79,"University Of California, Irvine"
10817,154.0,164.0,4.0,3.6,University Of Kentucky
10855,161.0,166.0,4.0,3.82,University Of Pennsylvania
10858,161.0,170.0,5.0,3.7,University Of Pennsylvania
10866,156.0,162.0,3.5,3.36,Indiana University Bloomington
10886,159.0,166.0,5.5,3.76,University Of Southern California
10929,152.0,168.0,3.5,3.6,University Of Southern California
10940,154.0,162.0,4.0,3.62,University Of Florida
10941,154.0,162.0,4.0,3.62,North Carolina State University
11001,161.0,153.0,5.5,3.78,Columbia University
11008,154.0,166.0,4.5,2.7,Oregon State University
11010,155.0,170.0,5.5,3.64,UC Davis
11046,150.0,145.0,5.0,3.92,University Of Delaware
11054,157.0,145.0,0.0,3.01,University Of Southern California
11057,159.0,165.0,5.0,3.7,Northwestern University
11061,152.0,161.0,4.0,3.79,University Of Texas At Austin
11066,159.0,163.0,4.0,3.9,Duke University
11093,162.0,170.0,3.5,3.89,University Of Washington
11107,160.0,169.0,4.0,3.9,Johns Hopkins University
11137,164.0,168.0,4.0,3.9,Duke University
11150,160.0,167.0,0.0,3.9,University Of Toronto
11196,158.0,154.0,4.5,4.0,Arizona State University
11233,170.0,158.0,4.5,3.41,"University Of California, Los Angeles (UCLA)"
11261,153.0,168.0,4.0,3.9,Columbia University
11495,150.0,152.0,4.0,3.7,Penn State (Pennsylvania State University)
11496,148.0,168.0,3.5,3.44,Duke University
11533,159.0,154.0,5.0,4.0,George Mason University
11535,155.0,162.0,4.5,3.77,University Of Pennsylvania
11544,160.0,156.0,3.5,2.66,University Of Southern California
11564,147.0,170.0,3.0,3.98,University Of Pittsburgh
11586,165.0,151.0,4.5,3.82,"University Of California, Davis"
11587,160.0,162.0,4.0,3.9,Arizona State University
11627,157.0,170.0,3.5,4.0,University Of Wisconsin-Madison
11658,141.0,145.0,3.0,2.5,Purdue University
11666,160.0,160.0,4.0,3.4,University Of Southern California
11672,170.0,165.0,4.5,3.96,Stanford University
11673,170.0,165.0,4.5,3.96,University Of Washington
11676,151.0,164.0,3.5,3.95,Brown University
11764,157.0,169.0,4.5,3.93,University Of Michigan
11770,158.0,169.0,4.5,3.7,University Of Michigan
11773,157.0,170.0,3.5,3.73,University Of Michigan
11779,162.0,169.0,5.0,3.61,University Of Michigan
11801,154.0,169.0,4.0,9.3,"University Of Colorado, Boulder"
11836,163.0,170.0,4.0,3.96,Stanford University
11840,150.0,170.0,4.0,2.76,Boston University
11868,163.0,167.0,3.5,3.92,"University Of Michigan, Ann Arbor"
11907,160.0,167.0,3.5,3.85,Johns Hopkins University
11924,147.0,167.0,3.0,3.3,Purdue University - West Lafayette
11925,147.0,167.0,3.0,3.3,North Carolina State University
11998,158.0,168.0,4.5,3.66,Stanford University
12012,163.0,170.0,5.0,3.7,Cornell University
12028,167.0,170.0,5.0,9.55,University Of Texas At Austin
12036,160.0,150.0,3.5,3.53,University Of Maryland
12070,155.0,163.0,5.0,3.01,University Of Southern California
12105,156.0,167.0,3.0,3.45,North Carolina State University
12107,156.0,167.0,3.0,3.45,Stanford University
